,ROA,ROE,cash_flow,Annual_yield,Daily_yield,Max_withdraw,Var10,Var5,active_profit_annual,active_profit_daily,active_profit_total,active_risk,alpha,beta,downside_risk,total_yield,varance,win_rate,ind,news,clu
138,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.25,0.75,0.25,0.25,1.0,0.25,1.0,0.0,1.0,4
139,0.25,0.4166666666666667,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.5833333333333334,0.5833333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.75,0.5833333333333334,0.6666666666666666,0.75,0.8333333333333334,0.75,0.75,0.4322344322344322,1.0,4
140,0.5,0.25,0.875,0.625,0.625,0.75,0.75,0.875,0.625,0.625,0.625,0.5,0.5,0.625,0.375,0.625,0.5,0.375,0.0,1.0,4
141,0.375,0.4583333333333333,0.6666666666666666,0.7083333333333334,0.7083333333333334,0.375,0.875,0.9166666666666666,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.375,0.625,0.3333333333333333,0.3333333333333333,0.7083333333333334,0.375,0.4166666666666667,0.6776556776556776,5.0,1
142,0.875,0.75,0.25,0.625,0.625,0.5,0.5,0.5,0.625,0.625,0.625,0.75,0.75,0.625,0.75,0.5,0.75,0.75,0.5494505494505495,0.0,4
143,0.5,0.5,0.25,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.75,0.75,0.75,0.5,1.0,0.42857142857142855,2.0,2
144,0.8125,0.71875,0.71875,0.78125,0.78125,0.75,0.875,0.875,0.78125,0.78125,0.75,0.34375,0.5625,0.65625,0.34375,0.78125,0.34375,0.34375,0.6153846153846154,1.4,4
145,0.75,0.25,0.75,0.75,0.75,0.75,0.75,1.0,0.75,0.75,0.75,0.25,0.5,0.5,0.25,0.75,0.25,0.5,0.0,0.0,3
146,0.5,0.625,0.875,0.875,0.875,0.625,0.625,0.75,0.875,0.875,0.875,0.625,0.75,0.25,0.5,0.875,0.625,0.75,0.0989010989010989,1.0,4
147,0.5,0.25,0.25,0.25,0.25,0.25,1.0,1.0,0.25,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.25,1.0,0.5274725274725275,2.0,2
148,1.0,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.25,0.75,0.5,0.25,1.0,0.25,0.25,0.0,0.0,4
149,0.5,0.5,0.75,0.375,0.375,0.25,0.625,0.75,0.375,0.375,0.375,0.5,0.375,0.375,0.25,0.375,0.5,0.5,0.4285714285714286,1.0,2
150,0.3125,0.5,0.75,0.375,0.375,0.8125,0.875,0.875,0.375,0.375,0.375,0.3125,0.375,0.5,0.375,0.4375,0.3125,0.3125,0.7692307692307693,0.0,3
151,0.625,0.625,0.625,0.5,0.5,0.75,1.0,1.0,0.5,0.5,0.5,0.25,0.375,1.0,0.25,0.5,0.25,0.25,0.0,0.0,3
152,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.5,0.5,0.3333333333333333,0.6666666666666666,0.5833333333333334,0.5,0.5,0.5,0.6666666666666666,0.75,0.75,0.5833333333333334,0.5,0.5833333333333334,0.6666666666666666,0.3956043956043956,1.3333333333333333,4
153,0.6428571428571429,0.8928571428571429,0.6428571428571429,0.6785714285714286,0.6785714285714286,0.5714285714285714,0.35714285714285715,0.3928571428571429,0.75,0.75,0.75,0.8571428571428571,0.6785714285714286,0.7142857142857143,0.8571428571428571,0.6785714285714286,0.8928571428571429,0.7142857142857143,0.3814756671899529,2.0,2
154,0.25,0.25,0.75,0.25,0.25,0.25,0.25,0.5,0.25,0.25,0.25,1.0,0.5,0.25,0.75,0.25,1.0,0.25,0.0,0.0,3
155,0.5887096774193549,0.6341642228739003,0.6686217008797654,0.7016129032258065,0.7016129032258065,0.6414956011730205,0.5593841642228738,0.5945747800586509,0.6913489736070382,0.6913489736070382,0.6942815249266863,0.6832844574780058,0.6803519061583577,0.6414956011730205,0.6480938416422287,0.6986803519061584,0.6788856304985337,0.6620234604105572,0.4095836136652467,1.586666666666667,2
156,0.65,0.615625,0.63125,0.659375,0.659375,0.65,0.609375,0.60625,0.6625,0.6625,0.6625,0.65,0.68125,0.61875,0.634375,0.6625,0.646875,0.6125,0.4690476190476188,1.65,2
157,1.0,1.0,0.25,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.5,0.25,0.25,0.3956043956043956,2.0,2
158,0.75,0.5833333333333334,0.5833333333333334,0.75,0.75,0.6666666666666666,0.5,0.5,0.75,0.75,0.75,0.8333333333333334,0.75,0.5833333333333334,0.75,0.75,0.8333333333333334,0.6666666666666666,0.5494505494505495,0.0,4
159,0.4722222222222222,0.6666666666666666,0.5,0.5555555555555556,0.5555555555555556,0.7777777777777778,0.4444444444444444,0.4722222222222222,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.8055555555555556,0.7777777777777778,0.5277777777777778,0.75,0.5555555555555556,0.8333333333333334,0.5833333333333334,0.3983516483516483,1.5,4
160,0.625,0.625,0.875,0.25,0.25,0.375,1.0,1.0,0.25,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.75,0.4175824175824176,2.0,2
161,0.25,1.0,0.5,1.0,1.0,0.75,0.5,0.75,1.0,1.0,1.0,0.75,1.0,0.5,0.5,1.0,0.75,1.0,0.5934065934065934,2.0,2
